5607    | 5.71.86.203      | GB | BSKYB-BROADBAND-AS	 GB			
13037   | 217.155.58.134   | GB | ZEN-AS Zen Internet - UK	 GB			
14618   | 3.231.119.21     | US | AMAZON-AES	 US			
8075    | 138.91.193.169   | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
16276   | 51.222.147.142   | CA | OVH	 FR			
14061   | 167.71.192.236   | US | DIGITALOCEAN-ASN	 US			
24940   | 157.90.145.117   | DE | HETZNER-AS	 DE			
396982  | 34.95.238.107    | US | GOOGLE-PRIVATE-CLOUD	 US			
5603    | 86.61.72.219     | SI | SIOL-NET Telekom Slovenije d.d.	 SI			
16509   | 18.157.236.169   | US | AMAZON-02	 US			
14061   | 167.172.240.134  | US | DIGITALOCEAN-ASN	 US			
14061   | 128.199.13.55    | GB | DIGITALOCEAN-ASN	 US			
51167   | 213.136.89.90    | DE | CONTABO	 DE			
16276   | 79.137.35.35     | FR | OVH	 FR			
24940   | 159.69.65.94     | DE | HETZNER-AS	 DE			
24940   | 135.181.210.176  | DE | HETZNER-AS	 DE			
6730    | 194.230.218.223  | CH | SUNRISE	 CH			
8075    | 52.184.205.215   | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
8075    | 52.148.171.213   | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
20473   | 144.202.19.1     | US | AS-CHOOPA	 US			
51167   | 62.171.159.147   | DE | CONTABO	 DE			
3356    | 4.16.58.206      | US | LEVEL3	 US			
16509   | 54.78.114.147    | US | AMAZON-02	 US			
20473   | 140.82.29.104    | US | AS-CHOOPA	 US			
16509   | 34.246.129.165   | US | AMAZON-02	 US			
16509   | 18.158.45.223    | US | AMAZON-02	 US			
14618   | 23.21.82.139     | US | AMAZON-AES	 US			
24940   | 49.12.23.15      | DE | HETZNER-AS	 DE			
16276   | 135.125.161.88   | FR | OVH	 FR			
24940   | 49.12.67.205     | DE | HETZNER-AS	 DE			
24940   | 78.46.208.67     | DE | HETZNER-AS	 DE			
16276   | 135.125.132.102  | FR | OVH	 FR			
25697   | 209.151.156.123  | US | UPCLOUDUSA	 US			
16276   | 37.59.183.0      | FR | OVH	 FR			
197540  | 45.132.247.147   | DE | NETCUP-AS netcup GmbH	 DE			
202053  | 95.111.195.70    | FI | UPCLOUD	 FI			
16276   | 37.59.183.1      | FR | OVH	 FR			
197071  | 109.230.224.145  | DE | ACTIVE-SERVERS active-servers.com	 DE			
24940   | 116.203.131.6    | DE | HETZNER-AS	 DE			
24940   | 188.34.204.43    | DE | HETZNER-AS	 DE			
197071  | 109.230.224.116  | DE | ACTIVE-SERVERS active-servers.com	 DE			
24940   | 159.69.214.151   | DE | HETZNER-AS	 DE			
24940   | 159.69.214.201   | DE | HETZNER-AS	 DE			
24940   | 159.69.214.82    | DE | HETZNER-AS	 DE			
24940   | 94.130.104.115   | DE | HETZNER-AS	 DE			
24940   | 94.130.104.7     | DE | HETZNER-AS	 DE			
24940   | 116.203.190.176  | DE | HETZNER-AS	 DE			
60068   | 143.244.35.157   | GB | CDN77 ^_^	 GB			
3209    | 90.187.182.13    | DE | VODANET International IP-Backbone of Vodafone	 DE			
15659   | 84.48.213.252    | NO | NEXTGENTEL NEXTGENTEL Autonomous System	 NO			
63949   | 172.105.98.197   | US | LINODE-AP Linode	 LLC	 US		
43927   | 185.250.105.4    | RO | HOSTERION	 RO			
60781   | 77.81.247.115    | RO | LEASEWEB-NL-AMS-01 Netherlands	 NL			
63949   | 172.104.155.80   | US | LINODE-AP Linode	 LLC	 US		
6939    | 184.75.247.78    | US | HURRICANE	 US			
